 ,Area,X,Y,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.0227,65.9331,44.2198,1,0.2053,1157,775,123.6901,0.1708,1.0688,0.9356,0.875
2,0.0486,68.544,44.3033,1,0.3067,1201,777,158.1986,0.2278,1.1275,0.8869,0.8571
3,0.0195,67.3121,45.131,1,0.2053,1181,791,123.6901,0.1139,1.5,0.6667,1
4,0.0551,69.4543,45.4492,1,0.3321,1217,797,149.0362,0.2278,1.2632,0.7917,0.9189
5,0.133,68.2684,45.6171,0.9097,0.5094,1195,803,26.5651,0.4027,1.2765,0.7834,0.8454
6,0.1589,70.1403,45.676,1,0.5372,1229,806,57.9946,0.3986,1.1584,0.8633,0.9423
7,0.0713,72.0206,46.0137,0.9223,0.4027,1262,806,135,0.2847,1.3214,0.7567,0.8627
8,0.0227,70.7574,46.2537,1,0.2053,1241,811,123.6901,0.1708,1.0688,0.9356,0.875
9,0.0097,65.727,46.6496,1,0.1611,1153,820,45,0.1139,1.4638,0.6831,0.8571
10,0.0259,64.5786,46.8109,1,0.2547,1133,820,116.5651,0.1139,2,0.5,1
11,0.0032,67.967,46.7825,1,0.0805,1193,821,135,0.0569,1,1,1
12,0.1654,71.7076,47.2057,0.9813,0.5372,1257,833,57.9946,0.4556,1.0788,0.927,0.9107
13,0.0162,65.9396,47.2494,1,0.2053,1157,828,123.6901,0.1139,1.553,0.6439,0.9091
14,0.0357,64.6174,47.6211,0.9762,0.2847,1133,838,36.8699,0.2278,1.1475,0.8715,0.8148
15,0.0454,74.2678,47.6692,0.9106,0.3067,1303,835,111.8014,0.2278,1.2112,0.8256,0.8485
16,0.0616,68.971,47.9604,0.9445,0.3646,1209,844,38.6598,0.2847,1.1983,0.8345,0.8837
17,0.1362,65.8138,48.1411,1,0.4899,1153,842,125.5377,0.3986,1.1234,0.8902,0.9333
18,0.0908,73.676,48.7349,0.92,0.4146,1293,852,105.9454,0.3417,1.0928,0.9151,0.8615
19,0.1622,64.5239,48.8622,0.6698,0.616,1129,860,33.6901,0.4494,1.29,0.7752,0.7937
20,0.0843,71.5393,48.8391,0.9927,0.4107,1254,855,123.6901,0.3221,1.2079,0.8279,0.8814
21,0.0032,69.3907,49.5729,1,0.0805,1218,870,135,0.0569,1,1,1
22,0.0584,70.0962,50.0158,1,0.382,1228,877,153.4349,0.2278,1.7043,0.5867,0.878
23,0.0584,65.572,50.1993,1,0.3321,1150,879,120.9638,0.2847,1.0944,0.9137,0.8372
24,0.0324,69.3451,50.4897,1,0.2847,1216,885,143.1301,0.1708,1.2878,0.7765,0.9091
25,0.0713,66.5381,50.6575,1,0.4027,1166,887,135,0.2847,1.2879,0.7765,0.9362
26,0.107,70.9403,51.3711,0.9652,0.4448,1243,905,39.8056,0.3417,1.2439,0.8039,0.8919
27,0.1005,68.8175,51.5403,0.9067,0.4448,1206,902,129.8056,0.3417,1.1621,0.8605,0.8611
28,0.1427,73.2631,51.7136,0.9964,0.5372,1284,904,122.0054,0.3986,1.2602,0.7935,0.898
29,0.0616,63.579,51.677,1,0.3321,1115,905,120.9638,0.2847,1.1388,0.8781,0.8636
30,0.0811,66.1196,51.6845,1,0.382,1158,906,153.4349,0.2847,1.2299,0.813,0.9091
31,0.0454,72.1119,52.404,0.9925,0.3321,1264,919,149.0362,0.2278,1.3713,0.7293,0.8485
32,0.0162,73.6731,52.3405,1,0.2053,1292,920,33.6901,0.1139,1.553,0.6439,0.9091
33,0.0227,63.6064,52.5586,0.8001,0.2416,1116,921,135,0.1708,1.2665,0.7896,0.7778
34,0.0292,71.8331,53.0657,1,0.2547,1260,930,116.5651,0.1708,1.3403,0.7461,0.8571
35,0.0389,73.7424,53.284,0.8507,0.2904,1294,933,101.3099,0.2278,1.1102,0.9007,0.7742
36,0.133,64.3654,53.969,0.6785,0.6133,1129,953,68.1986,0.2847,1.9663,0.5086,0.8723
37,0.0162,67.295,54.049,1,0.2053,1180,950,33.6901,0.1139,1.553,0.6439,0.9091
38,0.1038,69.6434,54.2195,0.9359,0.4591,1222,948,119.7449,0.3417,1.217,0.8217,0.9143
39,0.0065,70.1025,54.4134,1,0.1273,1230,955,153.4349,0.0569,2,0.5,1
40,0.013,65.9453,54.5273,0.8574,0.2053,1157,956,123.6901,0.1139,2.0313,0.4923,0.8
41,0.1135,66.9647,54.8641,0.9682,0.4591,1174,960,119.7449,0.3417,1.1807,0.8469,0.9091
42,0.1459,69.9437,54.9525,0.9984,0.5094,1226,961,116.5651,0.433,1.1763,0.8501,0.8738
43,0.12,66.1016,55.0352,1,0.4591,1159,970,60.2551,0.3986,1.1058,0.9043,0.8916
44,0.0162,72.2722,54.9374,1,0.2053,1268,966,56.3099,0.1139,1.553,0.6439,0.9091
45,0.0876,64.4489,55.2086,0.9929,0.4107,1129,972,33.6901,0.2847,1.1471,0.8718,0.9474
46,0.0746,71.5745,56.2135,1,0.382,1256,984,116.5651,0.2847,1.2266,0.8152,0.902
47,0.0584,67.7866,56.4224,1,0.3321,1189,988,120.9638,0.2801,1.2204,0.8194,0.8571
48,0.0065,65.262,56.5774,1,0.1273,1145,993,153.4349,0.0569,2,0.5,1
49,0.1038,69.1504,56.7269,0.9359,0.4591,1212,993,119.7449,0.3417,1.2467,0.8021,0.8767
50,0.1038,72.9534,57.1078,0.9912,0.4146,1281,999,105.9454,0.3417,1.0517,0.9509,0.8889
51,0.0227,66.4131,57.1225,0.9433,0.2547,1164,1004,26.5651,0.1139,1.9357,0.5166,0.9333
52,0.0065,71.8679,57.3747,1,0.1273,1261,1007,153.4349,0.0569,2,0.5,1
53,0.0486,70.6283,57.6557,1,0.3321,1239,1010,120.9638,0.2278,1.4352,0.6968,0.8824
54,0.0032,67.967,57.6595,1,0.0805,1193,1012,135,0.0569,1,1,1
55,0.094,68.5522,58.2584,1,0.4107,1202,1020,123.6901,0.3417,1.0573,0.9458,0.8923
56,0.0324,67.6822,58.2403,1,0.2547,1187,1021,116.5651,0.1708,1.2356,0.8093,0.9091
57,0.094,66.4962,58.7159,1,0.4337,1164,1030,156.8014,0.3242,1.3855,0.7217,0.8529
58,0.0097,69.3717,59.235,1,0.1611,1217,1041,45,0.1139,1.4638,0.6831,0.8571
60,170.4926,68.979,51.1706,0.9701,16.9749,1208.561,1047.5867,88.9647,12.8059,1.3254,0.7545,1.0002
