 ,Area,X,Y,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Distance_to_Center,Radial_Distance_to_Edge,Shortest_Distance_to_Edge,Distance_Ratio,Inside_Ellipse
1,0.0227,65.9331,-44.2198,1.0,0.2053,1157.0,775.0,123.6901,0.1708,1.0688,0.9356,0.875,7.588881831337211,0.3877305057969851,0.3750574258139785,0.9513915821141326,True
2,0.0486,68.544,-44.3033,1.0,0.3067,1201.0,777.0,158.1986,0.2278,1.1275,0.8869,0.8571,6.881063456327082,1.5852613937349815,1.5809181111175283,0.812756842926555,True
3,0.0195,67.3121,-45.131,1.0,0.2053,1181.0,791.0,123.6901,0.1139,1.5,0.6667,1.0,6.265406911765587,1.9751635942473582,1.9202181439540753,0.7603122753690258,True
4,0.0551,69.4543,-45.4492,1.0,0.3321,1217.0,797.0,149.0362,0.2278,1.2632,0.7917,0.9189,5.74110860810001,2.7328952858502067,2.7255457194015804,0.6774965742225724,True
5,0.133,68.2684,-45.6171,0.9097,0.5094,1195.0,803.0,26.5651,0.4027,1.2765,0.7834,0.8454,5.598777956840224,2.8220787784612993,2.786706907688209,0.6648703490429053,True
6,0.1589,70.1403,-45.676,1.0,0.5372,1229.0,806.0,57.9946,0.3986,1.1584,0.8633,0.9423,5.615981379064569,2.758892253718236,2.7061233443549404,0.6705750588380507,True
7,0.0713,72.0206,-46.0137,0.9223,0.4027,1262.0,806.0,135.0,0.2847,1.3214,0.7567,0.8627,5.987065071468659,1.8145407192350973,1.7285369296527051,0.7674144569830395,True
8,0.0227,70.7574,-46.2537,1.0,0.2053,1241.0,811.0,123.6901,0.1708,1.0688,0.9356,0.875,5.2286338722461725,2.9421044352138015,2.817205280621806,0.6399218375984912,True
9,0.0097,65.727,-46.6496,1.0,0.1611,1153.0,820.0,45.0,0.1139,1.4638,0.6831,0.8571,5.569106301732799,1.9587344365064654,1.8597847644335088,0.7398012916829313,True
10,0.0259,64.5786,-46.8109,1.0,0.2547,1133.0,820.0,116.5651,0.1139,2.0,0.5,1.0,6.194392968645118,0.989757224373057,0.9511188637075818,0.8622304381477242,True
11,0.0032,67.967,-46.7825,1.0,0.0805,1193.0,821.0,135.0,0.0569,1.0,1.0,1.0,4.503283869577845,3.801611836576053,3.64663272166722,0.5422444819193729,True
12,0.1654,71.7076,-47.2057,0.9813,0.5372,1257.0,833.0,57.9946,0.4556,1.0788,0.927,0.9107,4.813074897609636,2.837822781242532,2.6710747531586976,0.6290862980579974,True
13,0.0162,65.9396,-47.2494,1.0,0.2053,1157.0,828.0,123.6901,0.1139,1.553,0.6439,0.9091,4.961225836423897,2.4900559953535257,2.3553451820378886,0.6658217939450091,True
14,0.0357,64.6174,-47.6211,0.9762,0.2847,1133.0,838.0,36.8699,0.2278,1.1475,0.8715,0.8148,5.623389085773807,1.379813577372322,1.3316622775150844,0.8029739186853044,True
15,0.0454,74.2678,-47.6692,0.9106,0.3067,1303.0,835.0,111.8014,0.2278,1.2112,0.8256,0.8485,6.342807532946272,0.5557522805937163,0.540316962000146,0.919439376389413,True
16,0.0616,68.971,-47.9604,0.9445,0.3646,1209.0,844.0,38.6598,0.2847,1.1983,0.8345,0.8837,3.2102099682108025,5.275882227682393,5.193603459456676,0.37829072488328236,True
17,0.1362,65.8138,-48.1411,1.0,0.4899,1153.0,842.0,125.5377,0.3986,1.1234,0.8902,0.9333,4.38136523129492,2.7694628921864863,2.6360544178998597,0.6127073893592392,True
18,0.0908,73.676,-48.7349,0.92,0.4146,1293.0,852.0,105.9454,0.3417,1.0928,0.9151,0.8615,5.29097755523495,1.449924348674089,1.4172078039787175,0.7849064755217281,True
19,0.1622,64.5239,-48.8622,0.6698,0.616,1129.0,860.0,33.6901,0.4494,1.29,0.7752,0.7937,5.0176315697747285,1.675821318515287,1.641763174203338,0.7496327610750673,True
20,0.0843,71.5393,-48.8391,0.9927,0.4107,1254.0,855.0,123.6901,0.3221,1.2079,0.8279,0.8814,3.462806425430099,3.7097874318197523,3.5003151989566237,0.48278300630810067,True
21,0.0032,69.3907,-49.5729,1.0,0.0805,1218.0,870.0,135.0,0.0569,1.0,1.0,1.0,1.6498915661339708,6.6697483829215924,5.7702793348170625,0.1983128568347798,True
22,0.0584,70.0962,-50.0158,1.0,0.382,1228.0,877.0,153.4349,0.2278,1.7043,0.5867,0.878,1.6067665916367557,5.691695965735549,5.190212784532877,0.22015137832196355,True
23,0.0584,65.572,-50.1993,1.0,0.3321,1150.0,879.0,120.9638,0.2847,1.0944,0.9137,0.8372,3.5427493123279237,2.9531146731178164,2.9289416926425735,0.5453853898827938,True
