 ,Area,X,Y,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Distance_to_Center,Radial_Distance_to_Edge,Shortest_Distance_to_Edge,Distance_Ratio,Inside_Ellipse
1,0.0857,22.0617,-8.698,0.8499,0.4039,636.0,257.0,70.0169,0.3373,1.2287,0.8138,0.8372,5.668021894805982,1.31450106339463,1.2620294029096009,0.8117441115104653,True
2,0.081,26.8578,-9.1168,0.5422,0.4693,775.0,270.0,53.9726,0.3254,1.3773,0.726,0.7196,7.7670364650875685,0.8304256500557239,0.8025894424456549,0.9034103740226969,True
3,0.2322,17.8596,-10.0419,0.5513,0.67,509.0,286.0,145.4915,0.5521,1.0623,0.9414,0.8369,5.301556482769943,1.1701537102405917,1.1632364441393028,0.8191894143368222,True
4,0.1381,26.0123,-9.9873,0.8287,0.5222,746.0,290.0,7.5946,0.4141,1.1914,0.8393,0.8625,6.55740740308241,2.0682663693969374,1.982290929849832,0.7602197319360898,True
5,0.2536,19.5219,-10.5361,0.8235,0.67,557.0,309.0,11.8887,0.5551,1.1362,0.8801,0.8875,4.039717991394946,2.3626851501526893,2.362052674051574,0.6309690130538135,True
6,0.131,24.4404,-10.7842,0.9149,0.4941,705.0,306.0,114.7751,0.3973,1.2013,0.8324,0.8871,4.8656382407655405,3.5648534190049483,3.286027098895266,0.5771476252071878,True
7,0.5239,23.4528,-11.4525,0.6306,1.1858,680.0,315.0,98.3659,0.6736,1.8508,0.5403,0.873,3.706183775799574,4.560862095938931,4.081005845846994,0.448308117954133,True
8,0.1584,26.8743,-11.8911,0.4937,0.7336,772.0,338.0,131.1859,0.3845,1.9549,0.5115,0.7801,6.29234384391063,2.636836821251653,2.6318881174410187,0.704694426047462,True
9,0.1131,24.2917,-12.294,0.6677,0.4941,697.0,355.0,167.9052,0.3971,1.2911,0.7746,0.7884,3.798241935422226,5.080545856079979,4.784816766713228,0.42778834505510804,True
10,0.1857,15.316,-12.7068,0.8048,0.5784,442.0,377.0,72.646,0.4998,1.1069,0.9034,0.8643,5.945691765471871,1.6278687231320754,1.5252084911895827,0.785058992321834,True
11,0.175,26.0298,-13.0443,0.7167,0.5575,747.0,375.0,158.1986,0.4737,1.0968,0.9118,0.8547,5.128602977419875,3.6625622497284924,3.5077492421148952,0.5833814795770212,True
12,0.2465,18.5108,-13.4831,0.6856,0.6806,528.0,396.0,30.4655,0.5446,1.2412,0.8057,0.8607,2.6609296307869568,4.823874541289298,4.368058330549942,0.3555109218106405,True
13,0.2203,22.55,-13.4806,0.9194,0.6036,646.0,386.0,149.0362,0.5176,1.1551,0.8657,0.9227,1.6964935514171564,7.226819847052147,6.250668418454264,0.19011923885898382,True
14,0.3191,24.9238,-13.6885,0.7909,0.7312,720.0,407.0,70.71,0.6344,1.2093,0.8269,0.8993,3.91688934998169,4.710995709745046,4.284285824107863,0.453980242303523,True
15,0.2155,17.8806,-13.9903,0.5581,0.6779,514.0,397.0,104.7436,0.4831,1.3532,0.739,0.8478,3.1832747697928943,4.858159758891438,4.310216363142491,0.39585906699083867,True
16,0.3024,16.1662,-14.932,0.8575,0.7279,463.0,442.0,58.5704,0.5977,1.2056,0.8295,0.9153,4.9288572965749395,3.66438356342975,3.4139802831362345,0.5735737397418009,True
17,0.1,22.1725,-15.2174,0.6505,0.4324,637.0,438.0,151.3895,0.3796,1.0529,0.9498,0.8116,1.464677029245695,5.239368780583619,5.048596239583122,0.21847658425875016,True
18,0.3227,18.6321,-15.7939,0.6838,0.9285,530.0,449.0,131.9872,0.4786,2.0686,0.4834,0.8549,2.8562231512961316,6.0104697744658,5.3819838243778895,0.322129476594081,True
19,0.3012,23.1222,-16.228,0.4868,0.8905,658.0,478.0,35.5377,0.5856,1.4448,0.6921,0.8083,2.8465563493456436,3.7834445546016413,3.6948473125917642,0.429344790534025,True
20,0.4596,17.0866,-16.4679,0.5503,1.0031,484.0,483.0,26.5651,0.7698,1.4326,0.698,0.8257,4.530473875876563,4.383079647225101,4.293483771897964,0.5082679835976446,True
21,0.1607,20.4965,-16.5408,0.6149,0.6849,587.0,473.0,130.9144,0.4311,1.6149,0.6192,0.8133,2.3324931982751855,4.771057926683678,4.43926821883535,0.32835593877543784,True
22,0.0202,15.87,-16.554,0.4597,0.2695,458.0,483.0,50.1944,0.1627,1.8164,0.5505,0.7083,5.660099526510114,3.275526006026089,3.274099630268329,0.6334306989365975,True
23,0.0774,21.9358,-16.8421,0.6288,0.4155,630.0,492.0,48.3665,0.3106,1.0454,0.9566,0.8228,2.715081895634088,3.6997807062757393,3.693679200064434,0.42324864367722487,True
24,0.0976,18.2788,-17.478,0.804,0.4499,525.0,501.0,122.4712,0.3451,1.0652,0.9388,0.8962,4.2359857329788095,4.052777056262624,3.672831450549299,0.5110516298616957,True
25,0.1798,26.5503,-17.9746,0.572,0.6446,768.0,512.0,105.5241,0.4486,1.2447,0.8034,0.8032,6.627726684165542,0.24150997469644508,0.23416691382293095,0.9648418031449137,True
26,0.0857,20.8722,-17.988,0.5988,0.4212,600.0,517.0,145.008,0.3451,1.2161,0.8223,0.809,3.717107618834838,3.0419660463287936,2.944147039663521,0.5499433506684307,True
27,0.0441,17.9047,-18.4037,0.4368,0.3603,518.0,539.0,73.3008,0.207,1.581,0.6325,0.7255,5.190794275445717,2.9358175883661923,2.705414842292665,0.6387402723834403,True
28,0.1215,20.9137,-18.7655,0.8857,0.463,600.0,541.0,153.4349,0.3704,1.2186,0.8206,0.9148,4.492401679502846,2.2407658540438558,2.1788696879773233,0.6672047973142397,True
29,0.05,16.2214,-19.0698,0.2808,0.3858,465.0,555.0,26.5651,0.3012,1.1612,0.8612,0.6131,6.805453052516051,1.6686755510230329,1.5871454493251964,0.8030858830339043,True
30,0.181,17.1929,-20.2347,0.5806,0.5876,494.0,579.0,130.2364,0.4831,1.1634,0.8596,0.8329,7.099390642160777,0.8226602095560116,0.7745073445015463,0.8961556514904555,True
31,179.4412,21.0511,-14.2752,0.9588,17.8736,374.7458,521.8702,24.6944,12.7991,1.3964,0.7161,1.0002,,,,,
