 ,Area,X,Y,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.0857,22.0617,8.6980,0.8499,0.4039,636,257,70.0169,0.3373,1.2287,0.8138,0.8372
2,0.0810,26.8578,9.1168,0.5422,0.4693,775,270,53.9726,0.3254,1.3773,0.7260,0.7196
3,0.2322,17.8596,10.0419,0.5513,0.6700,509,286,145.4915,0.5521,1.0623,0.9414,0.8369
4,0.1381,26.0123,9.9873,0.8287,0.5222,746,290,7.5946,0.4141,1.1914,0.8393,0.8625
5,0.2536,19.5219,10.5361,0.8235,0.6700,557,309,11.8887,0.5551,1.1362,0.8801,0.8875
6,0.1310,24.4404,10.7842,0.9149,0.4941,705,306,114.7751,0.3973,1.2013,0.8324,0.8871
7,0.5239,23.4528,11.4525,0.6306,1.1858,680,315,98.3659,0.6736,1.8508,0.5403,0.8730
8,0.1584,26.8743,11.8911,0.4937,0.7336,772,338,131.1859,0.3845,1.9549,0.5115,0.7801
9,0.1131,24.2917,12.2940,0.6677,0.4941,697,355,167.9052,0.3971,1.2911,0.7746,0.7884
10,0.1857,15.3160,12.7068,0.8048,0.5784,442,377,72.6460,0.4998,1.1069,0.9034,0.8643
11,0.1750,26.0298,13.0443,0.7167,0.5575,747,375,158.1986,0.4737,1.0968,0.9118,0.8547
12,0.2465,18.5108,13.4831,0.6856,0.6806,528,396,30.4655,0.5446,1.2412,0.8057,0.8607
13,0.2203,22.5500,13.4806,0.9194,0.6036,646,386,149.0362,0.5176,1.1551,0.8657,0.9227
14,0.3191,24.9238,13.6885,0.7909,0.7312,720,407,70.7100,0.6344,1.2093,0.8269,0.8993
15,0.2155,17.8806,13.9903,0.5581,0.6779,514,397,104.7436,0.4831,1.3532,0.7390,0.8478
16,0.3024,16.1662,14.9320,0.8575,0.7279,463,442,58.5704,0.5977,1.2056,0.8295,0.9153
17,0.1000,22.1725,15.2174,0.6505,0.4324,637,438,151.3895,0.3796,1.0529,0.9498,0.8116
18,0.3227,18.6321,15.7939,0.6838,0.9285,530,449,131.9872,0.4786,2.0686,0.4834,0.8549
19,0.3012,23.1222,16.2280,0.4868,0.8905,658,478,35.5377,0.5856,1.4448,0.6921,0.8083
20,0.4596,17.0866,16.4679,0.5503,1.0031,484,483,26.5651,0.7698,1.4326,0.6980,0.8257
21,0.1607,20.4965,16.5408,0.6149,0.6849,587,473,130.9144,0.4311,1.6149,0.6192,0.8133
22,0.0202,15.8700,16.5540,0.4597,0.2695,458,483,50.1944,0.1627,1.8164,0.5505,0.7083
23,0.0774,21.9358,16.8421,0.6288,0.4155,630,492,48.3665,0.3106,1.0454,0.9566,0.8228
24,0.0976,18.2788,17.4780,0.8040,0.4499,525,501,122.4712,0.3451,1.0652,0.9388,0.8962
25,0.1798,26.5503,17.9746,0.5720,0.6446,768,512,105.5241,0.4486,1.2447,0.8034,0.8032
26,0.0857,20.8722,17.9880,0.5988,0.4212,600,517,145.0080,0.3451,1.2161,0.8223,0.8090
27,0.0441,17.9047,18.4037,0.4368,0.3603,518,539,73.3008,0.2070,1.5810,0.6325,0.7255
28,0.1215,20.9137,18.7655,0.8857,0.4630,600,541,153.4349,0.3704,1.2186,0.8206,0.9148
29,0.0500,16.2214,19.0698,0.2808,0.3858,465,555,26.5651,0.3012,1.1612,0.8612,0.6131
30,0.1810,17.1929,20.2347,0.5806,0.5876,494,579,130.2364,0.4831,1.1634,0.8596,0.8329
31,179.4412,21.0511,14.2752,0.9588,17.8736,374.7458,521.8702,24.6944,12.7991,1.3964,0.7161,1.0002
